Keyword,tweet_id,created_at,text
ukraine+energy,1631086931156119553,2023-03-02T00:20:03.000Z,"@SenSchumer You are a clown! Your party is destroying America! Three years ago, no wars, no rumors of our children having to go die in Ukraine! Energy independence, 1.8% inflation, full employment!  Now look what you clowns have done in 2 years! The adults(I mean clowns) are in charge!"
ukraine+energy,1631085166193156097,2023-03-02T00:13:02.000Z,"@DashDobrofsky Fact: 150 suspicious activity reports (SAR) on banking transactions linked to members of the Biden family, Ukraine energy companies and energy companies link to Communist China. Treasury Dept is blocking access to the records but it's all going to be revealed."
ukraine+energy,1631083926356742145,2023-03-02T00:08:06.000Z,"@RepJeffries You are a clown! Your party is destroying America! Three years ago, no wars, no rumors of our children having to go die in Ukraine! Energy independence, 1.8% inflation, full employment!  Now look what you clowns have done in 2 years! The adults(I mean clowns) are in charge!"
ukraine+energy,1631079614272397314,2023-03-01T23:50:58.000Z,"@nrdgrl007 @Flipp440 Our overlords, who have kids and buddies working for Ukraine energy companies, beg to differ with you!"
ukraine+energy,1631069508709277696,2023-03-01T23:10:49.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631068337630240769,2023-03-01T23:06:10.000Z,"[7] I also am grateful to the Harvard-Ukrainian Research Institute @HURI_Harvard for supporting my EU/Ukraine energy research on the @Harvard campus, as well as @CEPA &amp; the @DukeU Rethinking Diplomacy program for supporting my policy work while at @Harvard. https://t.co/qjncVIpa3Y"
ukraine+energy,1631064345923731456,2023-03-01T22:50:18.000Z,@Timcast Well he has the support of Biden Pelosi and Romney.  How do I know this?  They are all on the board of Ukraine energy companies...
ukraine+energy,1631057907667140611,2023-03-01T22:24:43.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631052194102272000,2023-03-01T22:02:01.000Z,"@BogdanEscuSunt @realstewpeters … probably cause the West is benefiting from their corruption … what are the odds that Romney, Kerry, Pelosi and Biden all have kids on the payroll of Ukraine energy companies … probably nothing"
ukraine+energy,1631038275115790348,2023-03-01T21:06:42.000Z,"RT @GeorgeFreemanMP: Our rural market towns have survived by constant adaptation. The pandemic, lockdown &amp; now Ukraine energy inflation rec…"
ukraine+energy,1631034086180655104,2023-03-01T20:50:03.000Z,"@BusinessInsider Knight Frank的研究显示，2022年，世界上的超级富豪损失了约14万亿美元的财富
https://t.co/gfRWLu6GqA"
ukraine+energy,1631033574907432960,2023-03-01T20:48:02.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631033516187066369,2023-03-01T20:47:48.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631032916913340418,2023-03-01T20:45:25.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631032842107977734,2023-03-01T20:45:07.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631032089641467914,2023-03-01T20:42:07.000Z,"RT @BusinessInsider: The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnK…"
ukraine+energy,1631031913212256257,2023-03-01T20:41:25.000Z,"The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/4c20oBnKmE"
ukraine+energy,1630992302821761025,2023-03-01T18:04:02.000Z,"@krassenstein He was a hero, yet his brother wasn’t.His brother got a job in the Ukraine for over a million a year on a board of a Ukraine energy company. No degree, no experience just a father who was the vp of the USA"
ukraine+energy,1630971768939610113,2023-03-01T16:42:26.000Z,"@afneil @MailOnline Bloody hell, 5 years of people like you trying to stop it, then pandemic shutting down the economy for 2 years followed by money sent to war efforts in Ukraine, energy crisis hitting us, and we already failed the first chance? Sounds like bollocks to me... More like Brexit coup."
ukraine+energy,1630971311244857344,2023-03-01T16:40:37.000Z,"@atensnut I don't understand how the dems can support him.  They know that he is hurting our country nationally and internationally.  Look at Afghanistan, Ukraine, energy crisis, inflation, etc. Do I need to go on.  https://t.co/evZlnWUI0R"
ukraine+energy,1630969313954758661,2023-03-01T16:32:41.000Z,https://t.co/N8O5ZXESRi
ukraine+energy,1630943539579297799,2023-03-01T14:50:15.000Z,RT @mogeladze1: https://t.co/rXQ3bXXgUa
ukraine+energy,1630943334674968578,2023-03-01T14:49:27.000Z,https://t.co/rXQ3bXXgUa
ukraine+energy,1630940040451825666,2023-03-01T14:36:21.000Z,"RT @francediplo_EN: #France 🇫🇷 #India 🇮🇳 

❝En route to #G20India - 
consequences of the Russian war in #Ukraine, energy and food security,…"
ukraine+energy,1630933594851127297,2023-03-01T14:10:44.000Z,"RT @francediplo_EN: #France 🇫🇷 #India 🇮🇳 

❝En route to #G20India - 
consequences of the Russian war in #Ukraine, energy and food security,…"
ukraine+energy,1630931909256663040,2023-03-01T14:04:03.000Z,"#France 🇫🇷 #India 🇮🇳 

❝En route to #G20India - 
consequences of the Russian war in #Ukraine, energy and food security, effectiveness of multilateralism. ❞
@g20org https://t.co/SxE3Urg9Cw"
ukraine+energy,1630929022874943491,2023-03-01T13:52:34.000Z,"🇺🇦🤝🇸🇪
Thank you, #Sweden!
⚡️equipment, spare parts and fuels are urgently needed to repair and maintain damaged 🇺🇦#energy infrastructure.
For these reasons, #Ukraine Energy Support Fund was set up by the #EnergyCommunity.
#StandWithUkraine
https://t.co/WQcpk0eENU"
ukraine+energy,1630915136285208576,2023-03-01T12:57:24.000Z,"@Mayonaize1977 @WallStreetApes Half those kids already on boards for Ukraine energy shell companies, so at least they have something to fight for"
ukraine+energy,1630914961055662080,2023-03-01T12:56:42.000Z,RT @G_Galushchenko: 🇸🇪decided to allocate around $30 mln to the Ukraine Energy Support Fund and provide financial support to the IAEA`s mis…
ukraine+energy,1630909686252724225,2023-03-01T12:35:44.000Z,"@MC_Note32 @ZeekArkham @AndyDSweet ..then guess who receives that on the other end? Guess who runs the companies or has financial interests in the companies that rebuild Ukraine? Guess who has their hands and pockets in the Ukraine energy sector? Who do we know, already, has been involved in these deals? Bidens"
ukraine+energy,1630887427564007424,2023-03-01T11:07:17.000Z,"The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/TehrUmbKm4"
ukraine+energy,1630887423810084865,2023-03-01T11:07:16.000Z,"The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/grJhcW4ZxR"
ukraine+energy,1630887418038476801,2023-03-01T11:07:15.000Z,"Business Insider - The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/5DOVO6hiwq https://t.co/baBh05nn9g"
ukraine+energy,1630884979843510273,2023-03-01T10:57:34.000Z,"The world's ultra-rich lost about $14 trillion of their wealth in 2022, Knight Frank study shows https://t.co/HOOl9z51Bf"
ukraine+energy,1630884929427890178,2023-03-01T10:57:22.000Z,Sweden to transfer $30M to Ukraine Energy Support Fund https://t.co/SXQKvQf1Wf
ukraine+energy,1630883866931269632,2023-03-01T10:53:08.000Z,Sweden to transfer $30M to Ukraine Energy Support Fund https://t.co/0p3OzMu8c9
ukraine+energy,1630845757220704258,2023-03-01T08:21:42.000Z,RT @G_Galushchenko: 🇸🇪decided to allocate around $30 mln to the Ukraine Energy Support Fund and provide financial support to the IAEA`s mis…
ukraine+energy,1630828371578896384,2023-03-01T07:12:37.000Z,"@SICideas @disclosetv USA tax payer money sent to Ukraine, Ukraine buys crypto, crypto company endorses democrats! Biden instals son into Ukraine energy company, son receives $50,000 a month, claims it’s from renting out a property I USA but both joe/son claim it to be their property 😬"
ukraine+energy,1630823979077304321,2023-03-01T06:55:10.000Z,"@Dan17875040 @jgotkowska It's not a nonsense. War escalate way above Putin's plan. Without the bypass vision by CEE, it is very possible that he would not even have decided on a ""three-day special operation"" https://t.co/AaqAbRbjUB"
