Keyword,tweet_id,created_at,text
war+energy,1631088567505043456,2023-03-02T00:26:33.000Z,"2023-03-02 08:26:30
💫💘💌💥🤐
Especially different can professional small war energy."
war+energy,1631057790038061056,2023-03-01T22:24:15.000Z,"War energy that visit want.
 #人妻 #裸聊 #反差婊 #女s #福利姬 https://t.co/mNEU8oYjir"
war+energy,1631047831128616960,2023-03-01T21:44:41.000Z,"@ianbremmer @gzeromedia I want analysis on DRC!! 

Saudi Arabia of Cobalt on the precipice of war during the start green transition catalysed by the Ukraine war+energy security concerns is worthy of some content. https://t.co/9MOIvxwwkd"
war+energy,1631046629758324739,2023-03-01T21:39:54.000Z,"RT @WillieDMack1: IF NOT For a 

STOLEN ELECTION,  

WE Would NOT be at WAR, 

ENERGY PRICES and INFLATION WOULD be LOW, 

OUR BORDER WOULD…"
war+energy,1631022940497285120,2023-03-01T20:05:46.000Z,"@MeetThePress @ChrisMurphyCT Record : highest inflation in 40 years, highest mortgage rates in 20 years ,worst influx of illegal immigration, skyrocketing crime, at war, energy dependence, Afghanistan catastrophe, lowest approval ratings….."
war+energy,1631011773410312192,2023-03-01T19:21:24.000Z,"RT @CryptoLocomoto: @__ZionLion__ @jayparsons Fed ODL = Risk On/Risk Off Indicator 

Stock Market topped at 4.18T FED ODL

Bond Market took…"
war+energy,1630999968591802368,2023-03-01T18:34:29.000Z,@rtenews Wholesale price of gas below level before the war....Energy companies should have sold all the gas they bought forward at high price by now... https://t.co/hiI5JXIotO
war+energy,1630963163461042177,2023-03-01T16:08:14.000Z,"👌💫😌😍💘
Coach war energy guess structure American quality.
  #杭州  #铁力  #尚志 https://t.co/MgKdPhVRrI"
war+energy,1630933170668335107,2023-03-01T14:09:03.000Z,"Chinese ETFs are great bet after Adani rout hits India, Europe has had war, energy crisis and Japan isn't resilient as well. https://t.co/nrKQ3iEcP1"
war+energy,1630922705816911873,2023-03-01T13:27:28.000Z,"@chaotic456 I'm certain that if he got another 4 years we wouldn't be in such a terrible situation, no war, energy independent, control of the southern border and so on"
war+energy,1630868233031958529,2023-03-01T09:51:01.000Z,"Biggest winners of the Ukraine war?

Energy companies, east and west https://t.co/s3U8xFZDRv"
war+energy,1630807920853274624,2023-03-01T05:51:21.000Z,"RT @ricklevy67: #NewsCorpse @australian #MurdochGutterMedia cost of living crisis,  housing crisis,  price gouging, Profiteering from the U…"
war+energy,1630804912371036161,2023-03-01T05:39:24.000Z,"@Palsvig It is peculiar to realize that all the crisis we have-are constructed by people. War, energy crisis due to @vonderleyen sanctions. Excess deaths from C-19 mRNA chemical warfare. Bioengineering and #HAARP-the good NEWS is: people did/does this. We the people will FIX it! https://t.co/6NBuK52jVk"
war+energy,1630782863795978240,2023-03-01T04:11:47.000Z,"RT @ricklevy67: #NewsCorpse @australian #MurdochGutterMedia cost of living crisis,  housing crisis,  price gouging, Profiteering from the U…"
war+energy,1630773975730077697,2023-03-01T03:36:28.000Z,"@realstewpeters simple, the same reason the nazis started the war…energy sources…and attempting to cut that Russian energy off, by the yanks blowing up Nordstream! https://t.co/C0cDic9Dfn"
war+energy,1630766847909044224,2023-03-01T03:08:09.000Z,"#NewsCorpse @australian #MurdochGutterMedia cost of living crisis,  housing crisis,  price gouging, Profiteering from the Ukraine war,  energy crisis , rental crisis,  compared to their response to millionaires and billionaires 
loosing their tax loophole #auspol https://t.co/PvdvsFIzrm"
war+energy,1630749878472294400,2023-03-01T02:00:43.000Z,"#珠海  #珠海资源 #珠海线下 https://t.co/A4ibtt1R6T
Skill wonder particular likely away war energy stuff.
2023-03-01 10:00:43"
war+energy,1630712932706275328,2023-02-28T23:33:54.000Z,"pillage.
We want this anti war energy.

When the CIA or MI5 try regime change in South America or Africa, we want this same energy Tanaiste.

Next time France loots an African gold mine, we want this same energy. When France hold African leaders to ransom we want this same energy"
war+energy,1630712928964866049,2023-02-28T23:33:54.000Z,"It's great to see strong anti war statements but we want to see them all of the time.
Not just when it suits you @MichealMartinTD 

Next time Israel illegally drops bombs on Syria and Palestine, we want to see this anti war energy.

Next time USA decide to invade, rape, rob and"
war+energy,1630689817309892609,2023-02-28T22:02:03.000Z,"RT @healthbudi: “Woodside profit triples aided by Ukraine war energy price boost”

Just wanted to post this again, bc it’s the perfect exam…"
war+energy,1630671334450814978,2023-02-28T20:48:37.000Z,"In the middle of my initiations my guides said to me, ""you're still learning from war energy."" I said ""learning what?"" They said ""how to neutralize it."""
war+energy,1630593318471049216,2023-02-28T15:38:36.000Z,@NFLSTROUD All that twitter flame war energy from the 2015 draft ends pretty much with neither guy turning out to be the franchise guy the teams expected.
war+energy,1630576820289687552,2023-02-28T14:33:03.000Z,"EU’s Gentiloni: Won’t Have Recession, Stagflation in Europe https://t.co/2YzTcTNv5r via @YouTube 
no recession / stagflation /  war/ energy crisis 
why don't he says we are in heaven in 2023"
war+energy,1630568790571229184,2023-02-28T14:01:08.000Z,"@Georgehindle46 @NOELreports Hungary are wise on the Ukraine war, energy imports, immigration and LGBTQ issues.
We need to be more like Hungary"
war+energy,1630558094110658566,2023-02-28T13:18:38.000Z,"@elonmusk @McFaul So we have to be in the war energy forever?
How come they can never found real liberal. https://t.co/wa9GGGHlcD"
