Keyword,tweet_id,created_at,text
zelenskyy+war,1631007326231580703,2023-03-01T19:03:43.000Z,@alx No they won’t . It’s Zelenskyy war not a US war. EU will have to step up and hold ground. US has China to focus on.
zelenskyy+war,1630971166793027584,2023-03-01T16:40:02.000Z,"@VegasAllNight @SpaghettiKozak Fake indeed. Roger has called Biden and Zelenskyy war criminals, but I must have missed the part where he said the same of Putin. Despite the mass graves of Ukrainian civilians (killed by Russian troops) that have been found with signs of torture, including babies."
zelenskyy+war,1630960133194018817,2023-03-01T15:56:12.000Z,@sweetz71 @RealMattCouch Send them to Ukraine to fight Zelenskyy war
zelenskyy+war,1630858658052726784,2023-03-01T09:12:58.000Z,"Zelenskyy war criminal #Zelenskyy_war_criminal By TikTok ART 7April 2023 (3'41"") https://t.co/qkL7Zzrg6C https://t.co/UHY1Ida7fL https://t.co/5WWyZj1fXd"
zelenskyy+war,1630858302484799488,2023-03-01T09:11:33.000Z,"@notoaotearoa Zelenskyy war criminal #Zelenskyy_war_criminal By TikTok ART 7April 2023 (3'41"") https://t.co/qkL7Zzrg6C"
zelenskyy+war,1630856062697086976,2023-03-01T09:02:39.000Z,@DavisAndrew88 They've been called up for war in the Ukraine #Zelenskyy_war_criminal https://t.co/DokmA1Uaog
zelenskyy+war,1630835995011698691,2023-03-01T07:42:55.000Z,#zelenskiwarcriminal #Zelenskyy #war #Ucraina https://t.co/eKOSyBdGe3
zelenskyy+war,1630816024315547649,2023-03-01T06:23:33.000Z,"Russia Ukraine War Update: पुतिन की 'N' बिसात..यूक्रेन पर आखिरी आघात? Putin Vs Zelenskyy
 #war #Germany #ukrainewar #Ukraine #Bakhmut
 https://t.co/hVqeVELUOy"
zelenskyy+war,1630799347741872128,2023-03-01T05:17:17.000Z,"Pretty interesting opinion about Germany/Scholz leadership (by polls) in the Ukranian crisis. 
https://t.co/AoMWNjZU8z"
zelenskyy+war,1630772916462690312,2023-03-01T03:32:16.000Z,@cjohnson999 @charliekirk11 I know people on the left continue to try and escalate this war in the hopes that it will involve NATO but I don’t want to hear a peep out of this corrupt Zelenskyy war profiteering billionaire tyrant
zelenskyy+war,1630735502528638976,2023-03-01T01:03:36.000Z,Ukrainian people calling Zelenskyy war criminal https://t.co/n4TUHIWrNQ
zelenskyy+war,1630735430726430721,2023-03-01T01:03:18.000Z,@alx Mr. Zelenskyy: War Time Games 101- Never make a Threatening Declaration to a country you have No authority and has just sent you in $billions$ military aid‼️ Your lack of Leadership and Experience is showing. https://t.co/BxN6n3p70R
zelenskyy+war,1630711521813594113,2023-02-28T23:28:18.000Z,RT @cduhaime: A tiny crack in German-US relations vis à vis Ukraine war. https://t.co/WxGiTwkqZV
zelenskyy+war,1630709017335963649,2023-02-28T23:18:21.000Z,Topple Zelenskyy war is over! https://t.co/cTceJWoh6d
zelenskyy+war,1630633645097590785,2023-02-28T18:18:51.000Z,Berlusconi blames Zelenskyy for war in Ukraine – POLITICO https://t.co/6Ly3TQVrlK
zelenskyy+war,1630607875256074256,2023-02-28T16:36:27.000Z,"RT @KYTKYTKYTKYTKYT: Politico: ""Η Γερμανία αμφισβητεί τον λογαριασμό του συμβούλου Μπάιντεν για τα τανκς Abrams.
Το Βερολίνο έχει αντικρούσ…"
zelenskyy+war,1630607408048267264,2023-02-28T16:34:35.000Z,"Politico: ""Η Γερμανία αμφισβητεί τον λογαριασμό του συμβούλου Μπάιντεν για τα τανκς Abrams.
Το Βερολίνο έχει αντικρούσει τα σχόλια του Σάλιβαν ότι ο Λευκός Οίκος έστειλε τανκς Abrams μόνο κατόπιν γερμανικής επιμονής.""
Αναμένουμε...

Πηγη: https://t.co/btXcgTxdQT
Thanx @PGPavlos! https://t.co/eFIf2Dmlp9"
zelenskyy+war,1630602297603399680,2023-02-28T16:14:17.000Z,"@jeremycorbyn @TIMniciniktKK Labour supporters MP'S COUNCILLORS MAYOR'S BLM loves to demonstrate no matter what happens it's in their blood. Labour has caused 
6 wars in 30 years 5 by Tony Blair and one by Harold Wilson
For the first time, conservatives are involved in a war with UKRAINE 🇺🇦 ""ZELENSKYY war"""
zelenskyy+war,1630591304328511491,2023-02-28T15:30:36.000Z,"@PohjolanS @yleuutiset Totta. Toisaalta ei tuo varsinaisesti yllättänyt. Ukraina oli 70 vuotta osa Neuvostoliittoa ja se näkyy vieläkin vähän kaikessa. Eikä siviileistä tehdä ihan niin vain sotilaita.

Muualtakin on tullut tietoa, ettei asiat ole ihan niin hyvin kuin on luultu:
https://t.co/bardXRx0Ev"
zelenskyy+war,1630561993789779968,2023-02-28T13:34:08.000Z,@htchpros https://t.co/dJwesAOEIq
zelenskyy+war,1630512840384606208,2023-02-28T10:18:49.000Z,LOL Berlin https://t.co/opGr5YSrQf
zelenskyy+war,1630365017345253377,2023-02-28T00:31:25.000Z,A tiny crack in German-US relations vis à vis Ukraine war. https://t.co/WxGiTwkqZV
zelenskyy+war,1630331681268957184,2023-02-27T22:18:57.000Z,"German government has refuted a White House line that US President Joe Biden agreed to the delivery of Abrams battle tanks to Ukraine only at Germany’s insistence and against the recommendation of his military officials.
https://t.co/JInnhMHx4M"
zelenskyy+war,1630320319402475520,2023-02-27T21:33:48.000Z,Germany disputes Biden adviser’s account on Abrams tanks – POLITICO https://t.co/2j5oq0qexg
zelenskyy+war,1630308379129266177,2023-02-27T20:46:21.000Z,#zelenskyy - war criminal .. money launder .. get rid of this guy https://t.co/UV4jRtvy94
zelenskyy+war,1630271814847823872,2023-02-27T18:21:04.000Z,"@emjay_fl Why does Pierre &amp; J.T. aid the Nazi's in Ukraine with Canadians Taxes while here in Canada our own suffer This is a political distraction. Zelenskyy war gains profit from us, the UK &amp; U.S. ! in the continuation of his Nazi war &amp; Ukraine citizens suffer"
zelenskyy+war,1630264427659292673,2023-02-27T17:51:43.000Z,"@J_Todenhoefer Na? Peskov hat heute wieder Verhandlungen, auch nach Chinavorschlag abgelehnt. Zelenskyy war bereit mit China zu sprechen. Peskov sieht derzeit keine friedliche Lösung. Und nu? https://t.co/ferX5Y76qH"
zelenskyy+war,1630254505542426624,2023-02-27T17:12:17.000Z,RT @dave_brown24: The German government is disputing recent comments from Jake Sullivan that President Biden agreed to the delivery of Abra…
zelenskyy+war,1630238496433795073,2023-02-27T16:08:40.000Z,The German government is disputing recent comments from Jake Sullivan that President Biden agreed to the delivery of Abrams battle tanks to Ukraine only at Germany’s insistence and against the recommendation of his military officials https://t.co/F6ftmQyPGb
zelenskyy+war,1630235978500825089,2023-02-27T15:58:40.000Z,"Scholz was saying out loud Leopards were conditional on US

The German govt has refuted a WH line that Biden agreed to the delivery of Abrams battle tanks to Ukraine only at Germany’s insistence and against the recommendation of his military officials. https://t.co/4Hu0dxiir9"
