tweet_id,created_at,keyword_search,text,language
1628148366562545665,2023-02-21T21:43:14.000Z,putin+oil ,"@JuddLegum @AmirTalai The GOP is pretending to care about Americans.  

The current incarnation of Lincoln's party would mortgage their mothers for more Putin oil money. https://t.co/DEh6gU2Z2r",en
1628069087136948224,2023-02-21T16:28:13.000Z,putin+oil ,"oil war I bushwhacker sr cheney oil barons
oil war II bushwhacker jr cheney oil barons
oil war III cheney putin oil barons ?
but, thank God for inflation, its the sack full of holes, every time they jack up the price of gasoline they destroy the value of the whores banking power https://t.co/cJsuzJ3btJ",en
1628025782185472002,2023-02-21T13:36:08.000Z,putin+oil ,"I was wondering as America escalate this conflict with Russia. A: Would you work on a fuel tanker shipping gas to Europe? 
B: What kind of pay would be enough to work on a L&amp;G tanker?
C: How long do you think Russia will allow America to fuel this war? 
#Putin #Oil #war #Ukraine",en
1627971160217468930,2023-02-21T09:59:05.000Z,putin+oil ,Thanks for the dip mr Putin #Oil https://t.co/QQEG4AUTA1,en
1627658424941965312,2023-02-20T13:16:23.000Z,putin+oil ,"@MartinSLewis Yes, of course, Martin. Every European country has to do it. To stop being dependant of Putin oil. I never like the idea of depending of that dictator.",en
1627371522401746948,2023-02-19T18:16:20.000Z,putin+oil ,"“Oct 27, 2017
1:52PM ET
I told all of you Do not bet against Putin Oil is going up.” https://t.co/oH4cdbKAb0
Reputation
Publicly almost None, meaning neither good or bad since publicly he does not exist, due to a reputation of suing and censoring any negative media written",en
1627343835268251655,2023-02-19T16:26:19.000Z,putin+oil ,"Re Wagner mercenary group, WagnerLeaks and ""Putin's Chef"" aka Yevgeny Prigozhin, oligarch and consigliere to Putin, oil baron and media mogul behind troll farm ""Internet Research Agency"" in St Petersburg, RU https://t.co/3rekALlCKd",en
1627338310078337025,2023-02-19T16:04:22.000Z,putin+oil ,"@RonnyJacksonTX And perhaps you should focus on REAL wars. Putin, oil companies gouging, food companies gouging, inflation…

But the most popular holiday on the planet is “under attack?”

Grow up and prioritize… 
@POTUS @GOP @DNC @GovRonDeSantis @BetoORourke @SpeakerPelosi @SpeakerRyan 

•",en
1627117413211987969,2023-02-19T01:26:36.000Z,putin+oil ,"@mephistojones @Bowenchris This idiotic policy driven by labor by default increases pricing. Think of it this way if AUKUS O&amp;G through gov incentivised more supply, price would drop to $50US per barrel. Energy flows through all the economic pricing down- good!
Putin oil revenue falls immediately - war end.",en
1627116749291134976,2023-02-19T01:23:58.000Z,putin+oil ,"@A_la_cran @fuckyouiquit Denying Putin oil revenue also makes it harder for him to finance his attempted conquest of a neighboring country.

It helps the people of the country he invaded. Cheer yourself by considering the benefit of slowing a military aggressor for the people of Ukraine.",en
1627072133846421505,2023-02-18T22:26:40.000Z,putin+oil ,"Union economic crisis along with (His father) showing pro Putin sentiment like “Oct 27, 2017

1:52PM ET

I told all of you Do not bet against Putin Oil is going up” https://t.co/2InRruzFrr",en
1626867972655439873,2023-02-18T08:55:25.000Z,putin+oil ,So who is really paying for this.Russians? Putin ? Oil company ? The Tories claim they are the party of law and order yet this slug has never had a real investigation into corrupt practices and money given to him .And they call drug dealers scum. At least they know they are scum https://t.co/vZQvd6sWpt,en
