tweet_id,created_at,keyword_search,text,language
1628160695786172416,2023-02-21T22:32:14.000Z,ukraine+energy,"#bbcnews #BBCBreakfast 
Just watched the evening news explaining why the supermarkets will be limiting veg sales starting tomorrow.
Weather, Ukraine, energy, workers the reason.
Spot on. Quite right.
Nothing else. Nothing else whatsoever.
But why only us????",en
1628120280043507712,2023-02-21T19:51:38.000Z,ukraine+energy,"@POTUS They're standing strong while you launder our tax money. How come you guys never talk about Hunter being employed by Ukraine energy company? 
I'm sure you're 10% for the big guy is now up to 25% for the big guy.
Disgusting!",en
1628106054436548608,2023-02-21T18:55:06.000Z,ukraine+energy,@Angry_Staffer Taking bribes is not power.  Blowing up noardstream and exporting Americas power natural gas and coal while punishing American energy companies is not power. Protection son on Ukraine energy board is not power.  Treason it’s called Treason,en
1628105967127908353,2023-02-21T18:54:45.000Z,ukraine+energy,@POTUS Reinstate Ukraine energy specialist hunter Biden!,en
1628079966641434639,2023-02-21T17:11:26.000Z,ukraine+energy,"@robreiner 'fight for democracy', you mean the 50K per month Hunter got as a bribe from a Ukraine energy company, with 10% to, the big guy, Magoo Biden?",en
1628059875908415490,2023-02-21T15:51:36.000Z,ukraine+energy,"@w1zz3rd33 @MCCH2021 @fascismsuckz @TPostMillennial Let’s just wrap our heads around fact, a US VP’s son, just so happens to get an ultra-high paying job working as a consultant, for a Ukraine energy company, a job he has no qualifications for, in a couple we just so happen to give billions to. What’s the odds? 😏",en
1628051051562651649,2023-02-21T15:16:33.000Z,ukraine+energy,"Repeated desperate attempts by supermarkets &amp; media to trigger panic buying using fears of shortages. First Brexit. Then Covid, climate, Ukraine, energy, now weather again. Supermarkets are not letting any crisis go to waste. Price gouging. Media as usual featuring empty shelves.",en
1628046385437196289,2023-02-21T14:58:00.000Z,ukraine+energy,"@CollinRugg @ZelenskyyUa HOMES IN SWITZERLAND! UKRAINE GOVERNMENT HAVE USED BIO WEAPONS ON ITS OWN PEOPLE! UKRAINE IS THE SECOUND LARGEST COUNTRY FOR CHILD TRAFFICKING! BIDENS, PELOSI'S SON'S WERE ON THE BOARD OF DIRECTORS FOR UKRAINE ENERGY! HOW IS @ZelenskyyUa DOING A WORLD TOUR, COLLECTING AN OSCAR..",en
1628036867852566531,2023-02-21T14:20:11.000Z,ukraine+energy,"@EdKrassen Bio labs , sex trafficking, Hunter and Kerry sitting on a Ukraine energy board lmfao your a idiot",en
1628029318755409923,2023-02-21T13:50:11.000Z,ukraine+energy,War and subsidies have turbocharged the green transition: They may have knocked as much as ten years off the timeline 👉🏻 https://t.co/1jcKHgaL7E on @TheEconomist via @MonikaSchnitzer #Ukraine #energy GreenEnergy #EnergyTransition https://t.co/YahOflcrE4,en
1627991317719445505,2023-02-21T11:19:11.000Z,ukraine+energy,"Be nice and smiley, you are among friends. Yes, of course. I do my best. #GAC: preparation for March #EUCO. #Ukraine, #energy, #SingleMarket on the agenda https://t.co/r8JEFhq65Y",en
1627971482734276608,2023-02-21T10:00:22.000Z,ukraine+energy,"""Gas is no longer viewed as a viable transition fuel in Europe,"" said Ember analyst Sarah Brown.

Learn more about the energy crisis and transition one year into Russia's war in Ukraine  from @AAEnergyNews 

https://t.co/5RZoQYsYYv",en
1627904199001350144,2023-02-21T05:33:00.000Z,ukraine+energy,@krassenstein Only reason Joe went to  Ukraine was to get a cash kickback of laundered money that was given to the Ukraine as aid. Same way it was laundered back to the Bidens when Hunter was hired by a Ukraine Energy Co without any qualifications. Check Joe's suitcases when he returns.,en
1627884256671240192,2023-02-21T04:13:46.000Z,ukraine+energy,Putin fails to spark energy meltdown with brutal strikes in Ukraine https://t.co/KYNY7Ie0XN,en
