tweet_id,created_at,keyword_search,text,language
1628178531065950208,2023-02-21T23:43:06.000Z,ukraine+oil ,Translation: I would give Putin Ukraine and allow Russian Mafia to control businesses &amp; I would resume profiteering from Ukraine oil &amp; minerals! https://t.co/4fjk0EQrtp,en
1628146717198790657,2023-02-21T21:36:41.000Z,ukraine+oil ,@PressSec @POTUS Fight for freedom. Keep Ukraine oil and gas free for profits of Ukraine oligarchs and Biden's 10%.,en
1628137684479918081,2023-02-21T21:00:47.000Z,ukraine+oil ,"@alt_ccc @trwalsh1217 @Saluki_Dawg We can trade with other countries and work to get the best of the deal but war and dealing with Russia and Ukraine is none of our business. If we're not going to send soldiers to Ukraine, then we shouldn't send money to Ukraine. Oil in Ukraine isn't a big enough interest",en
1628096981682749447,2023-02-21T18:19:03.000Z,ukraine+oil ,"After #Russia’s invasion of #Ukraine,  oil shipments from Middle East to Europe ↗️ from 1.2 million barrels to 1.7 million in 2022. While Qatar, Algeria, Egypt emerged as main LNG exporters: 
https://t.co/RJR4UKXW7v",en
1628087386059182080,2023-02-21T17:40:55.000Z,ukraine+oil ,"But dickhead your family, we’re  Ukraine oil company’s paying your sons kickback payments and as President were you seeking Macedonian citizenship alias names in oil graft payments as other presidents before you were receiving, @BillClinton @realdonaldtrump John Kerry @georgebush https://t.co/GC2uGeYiTv",en
1627985493974556674,2023-02-21T10:56:02.000Z,ukraine+oil ,"@LucyMPowell @GNev2 It's not high on their agenda, country to run etc; War in Ukraine, Oil &amp; Gas prices &amp; every other employment group striking about this and that. Football needs to just shut up and wait its turn.",en
1627886263419441153,2023-02-21T04:21:44.000Z,ukraine+oil ,"@AvgoustisGeorge @AbelNTomlinson @DavidNorthWSWS @ChrisLynnHedges Look, if you aren’t knowledgeable enough to understand *all* wars are about resources, then it’s no wonder you’re so naive about the “anti-war” rally.

The war in Ukraine at its core is a fight between US and Russia for control of fossil fuels.
https://t.co/wTwAu86crW",en
1627876942861987842,2023-02-21T03:44:42.000Z,ukraine+oil ,"@deep_mowgli @GOP What is your best guess why Hunter Biden was being paid $50,000/month to be on Board Of Directors at Ukraine Oil &amp; Gas company Burisma?

PLEASE PLEASE PLEASE ANSWER",en
1627838165288378368,2023-02-21T01:10:37.000Z,ukraine+oil ,"@TuckerCarlson you know why our government is protecting Ukraine? Oil companies have interest in the land, and their oil. The wealthy control our government and leadership. This is why they hate Trump.",en
1627831648321474561,2023-02-21T00:44:43.000Z,ukraine+oil ,"@JoJoFromJerz @RepMTG The only reason he is supporting Ukraine is because his family has intrest in a corrupt Ukraine Oil company. And the money they are sending over is OUR MONEY!!!!
And a large percentage will be funneled into his family's bank account.",en
1627818072223412226,2023-02-20T23:50:46.000Z,ukraine+oil ,Exactly they have Sadias  billion dollar worth of weapons that even the republicans said they shouldn’t have done just so Jared could get a 1/2 billion dollar loan to bail his family business out.And they are worried about Hunter making a 100K a year working for a Ukraine oil co. https://t.co/0gjIynDzWk,en
1627792850409619456,2023-02-20T22:10:33.000Z,ukraine+oil ,@dervish2115 @TrumpIsBack7 How many defensive weapons does US military have left? Biden is sending tons of it to Ukraine. Oil reserves at a low level. I am not as confident as you are.,en
1627775101549662217,2023-02-20T21:00:01.000Z,ukraine+oil ,"For drivers across Virginia, prices at the gas pump are still higher than they were are Christmas, but @GasBuddy said the cost per gallon has been dwindling over the past month.

MORE ⬇️
https://t.co/bdm0ES98um",en
1627766877421436928,2023-02-20T20:27:20.000Z,ukraine+oil ,@AdamKinzinger Biden's son was raking in huge sums of money from Ukraine oil companies with his dad in office. This kind of corruption is nothing to you?,en
