tweet_id,created_at,keyword_search,text,language
1628181856418951176,2023-02-21T23:56:19.000Z,war+energy,"@acgrayling It's about bad weather and Putin's war energy price surge, sigh.",en
1628140002180796427,2023-02-21T21:10:00.000Z,war+energy,"One year into the Ukraine war, energy dynamics between Europe and the Middle East have shifted dramatically as the West continues to look for alternatives to Russian imports. (via @jackvdutton) https://t.co/PIZUqBMHtV https://t.co/LJXcMJiYhh",en
1628127327237427200,2023-02-21T20:19:38.000Z,war+energy,"💫🤨💌😌💥
Structure ever hit war energy ago.
sacansa 221  #91大神 #涩涩 #空姐   https://t.co/xqZWKFIQxt",en
1628112116669419535,2023-02-21T19:19:12.000Z,war+energy,"Total #energycosts (direct and indirect) for households have increased by at least 63% and possibly as much as 113% (that is, more than doubled). 
https://t.co/dqyWiAoZZu",en
1628084163411685383,2023-02-21T17:28:07.000Z,war+energy,It was hidden in the story blaming the Ukraine war energy prices for basic veg being almost rationed. But you just put up prices. The real problem is supply resulting from Brexit. #BrexitBritain https://t.co/TGEtTCYeCG,en
1628080419102130176,2023-02-21T17:13:14.000Z,war+energy,Each animal war energy energy yes serious.,en
1628064207521415169,2023-02-21T16:08:49.000Z,war+energy,"@BurnettRM @MartinJack49 If you really got it, you wouldn’t be so pro war. Get back to me when China is arming Russia and then when China moves on Taiwan, keep up that same pro war energy, it’s not gonna be your kids going to fight. If you’ve ever actually seen war, he wouldn’t be so pro war.",en
1628053939718590469,2023-02-21T15:28:01.000Z,war+energy,@Charlie77695149 War energy else main.,en
1628038013711261697,2023-02-21T14:24:44.000Z,war+energy,"@drjanaway Yes, if the economy had tanked due to Brexit, the war, energy prices, inflation etc., and that was what everyone else was having to accept.",en
1627965289525612545,2023-02-21T09:35:45.000Z,war+energy,"""Despite the permacrises of 2022—war, energy insecurity, climate change, nature loss..—there were major wins for global environmental governance."" PERMAGOV against #permacrises💪We proudly set out to contribute to EU marine policies to support implementation of 🇪🇺 #GreenDeal 🌊🐋 https://t.co/Onxqw6saB7",en
1627963786962542593,2023-02-21T09:29:47.000Z,war+energy,"#深圳 #上海 #杭州 https://t.co/hfmBPp4t2i
Seem should method study war energy care.
2023-02-21 17:29:47",en
1627941366570397697,2023-02-21T08:00:42.000Z,war+energy,"@ofgem's Jonathan Brearly should resign. Under his ""leadership"" #Ofgem allows energy firms to profiteer off War. Energy prices will increase in April by a further 20%.",en
1627924214844989441,2023-02-21T06:52:32.000Z,war+energy,Ukraine is a precursor to racist Yellow Peril anti-China encroachment on Taiwan.  One China tradition + trade wars is Blinken globalist agenda hot button.  Russia &amp; China stand in the way of WEF &amp; maintenace of Petrodollar; we risk nuclear war!  Energy monopoly is the objective. https://t.co/456E5nDzLy,en
1627863680154218496,2023-02-21T02:52:00.000Z,war+energy,im very proud of my war energy. i have earned and studied how to protect myself and sometimes that does mean hurting feelings. if i intend to hurt someone because they hurt me i'm not going to be ashamed of that and im not sorry like you pussy ass.,en
1627853930003681282,2023-02-21T02:13:15.000Z,war+energy,Jesse has real “telling a wife her husband died in the war” energy right now #wyatr #TheBachelor. @annahossnieh  @ArdenMyrin,en
1627842598579879936,2023-02-21T01:28:14.000Z,war+energy,"@jarzt @DexAust Of course new all time highs are fishy, with Ukraine war, Energy problems, record Euro inflation, record Euro tightening too(supposedly), and on and on, New all time highs happens when everything is perfectly fine, so OBVIOUSLY dirty money is buying up Europe👍",en
1627778273454456832,2023-02-20T21:12:37.000Z,war+energy,"@DutchyPatrick Your a fucking idiot.  Sure divide the country, banking will cease to exist, ATM's will ask you what state your from.  Another civil war, energy issues, water issues, lawlessness will abound.  Just shut up.",en
1627734019705290752,2023-02-20T18:16:46.000Z,war+energy,"@ABC That's a lot of corruption in one photo.   Where was all this pro war energy when Putin invaded Georgia?  Oh yeah, the president wasn't laundering money in Georgia so he didn't care.",en
1627725372006731777,2023-02-20T17:42:25.000Z,war+energy,"#语聊 #裸聊 #视频 #字母圈 https://t.co/mb8kyVEB6Y
System war energy director or material.
💘😅😆💌😌
2023-02-21 01:42:25",en
1627680003507855360,2023-02-20T14:42:08.000Z,war+energy,"This is the way of things for now, food and produce that we took for granted isn't going to be as easily available.

Changes in weather, ongoing pandemic &amp; Brexit effects, number of workers, war, energy prices, meaning generally, our cosy way of life is changing.... https://t.co/EJdQFab5Bl",en
1627607790398103552,2023-02-20T09:55:11.000Z,war+energy,"We are now moving to a perpetual state of war in Europe. After the massive failure of monetary and covid-19 policies, the narrative for the next 5 years will be that of war, energy and resource control.",en
1627595917980315649,2023-02-20T09:08:00.000Z,war+energy,"First Brexit, then Bregret. Is it too soon for Breconciliation? https://t.co/U1mDkquUt2",en
1627577551693520898,2023-02-20T07:55:01.000Z,war+energy,"@nntaleb here Telefónica CEO (biggest telco in Spain and very close to govt) says that we are living a succession of black swans, such as Covid, dissinformation, Ukraine war, energy crisis and inflation.
You think he read Incerto? https://t.co/WzHZ7IObPa",en
1627552420275580928,2023-02-20T06:15:10.000Z,war+energy,"@BeschlossDC Don't forget the Synfuels Corporation, another one of President Carter's fronts in his ""moral equivalent of war"" energy policy.",en
1627527932079112192,2023-02-20T04:37:51.000Z,war+energy,Always interesting to see what the country looks like from a distance. https://t.co/eooXWiGb2l,en
1627504706548531201,2023-02-20T03:05:34.000Z,war+energy,"Supply-side #inflation from the Ukraine war (#energy and #food costs), is important. So is demand-side inflation. COVID handouts, access to super, lockdowns, etc. are inflationary on the demand side. These pressures were evident before the Ukraine war (the RBNZ &amp; BoE thought so). https://t.co/CUQq3WElyi",en
1627468789200695297,2023-02-20T00:42:50.000Z,war+energy,"@harryjsisson No war
Energy independence 
Border security 
ECONOMY  

THERE.. I JUST GAVE YOU 4..... COULD KEEP GOING IF YOU ACTUALLY GAVE A DAMN.",en
1627405756483121153,2023-02-19T20:32:22.000Z,war+energy,"@KGinIowa @ProjectLincoln @POTUS Yep leading highest inflation in 40 years, highest mortgage rates in 20 years ,worst influx of illegal immigration, skyrocketing crime, at war, energy dependence, Afghanistan catastrophe, lowest approval ratings…..",en
1627405627927691264,2023-02-19T20:31:52.000Z,war+energy,"@ProjectLincoln @POTUS Yep leading highest inflation in 40 years, highest mortgage rates in 20 years ,worst influx of illegal immigration, skyrocketing crime, at war, energy dependence, Afghanistan catastrophe, lowest approval ratings…..",en
1627395786538471424,2023-02-19T19:52:45.000Z,war+energy,"@roxiqt I think that the relatively small number of people who are paying for it is inflated by him tapping the Culture War energy. His customers read tweets laughing at their checkmarks and think, ""It's working. They're so triggered. I hope he doubles the price.""",en
1627394761597325312,2023-02-19T19:48:41.000Z,war+energy,"Commentary: First Brexit, then Bregret. Is it too soon for Breconciliation? https://t.co/IRv50rtZle",en
1627349312630845441,2023-02-19T16:48:05.000Z,war+energy,"@bradwellcommon Over the last year there have been food shortages worldwide, supply chain, lack of staff, Ukraine war, energy costs, even Australia have had issues",en
1627340194314682369,2023-02-19T16:11:51.000Z,war+energy,"@trimetaveler24 Yeah. They are Slavs, so ethno-ID-history is always present. I say that as a Slav. All the more reasons to work to realpolitik rather than stirring the pot catering to ethnic tensions on behalf of Western war, energy, banking cartel$ =USA.

THIS cycle began with collapse of USSR. https://t.co/S7oWvRNfhU",en
1627321560036941830,2023-02-19T14:57:48.000Z,war+energy,"Uranium: War, Energy and the Rock That Shaped the World HMYVOKG

https://t.co/nkb6if5t6j",en
1627289588162252800,2023-02-19T12:50:46.000Z,war+energy,"#发情 #发春 #交配  https://t.co/ygJ4gNAj90
War energy add throughout during writer serve.
😍💋🤏😝🤐",en
1627278932658487299,2023-02-19T12:08:25.000Z,war+energy,"@piebyfour goal of the ruling class precisely 

(Dont need capitalism,reason why they are imploding all economy by a controlled demolition) (plan, deployed through combining pandemic - lockdown don’t work! NO SCHOOL Klimatet Strike she promoted!- operation w Climate, war, energy, poisoning",en
1627266016911802369,2023-02-19T11:17:06.000Z,war+energy,"Why there is a national shortage of tomatoes?
If you haven't time to read the article I'll let you know:
--- Ukraine war (energy crisis)
--- Brexit (disastrous trading relationship with EU) 

your welcome 
https://t.co/QVNv7Nl2hy",en
1627235667561390080,2023-02-19T09:16:30.000Z,war+energy,@joshglancy fake news today in @thetimes attributing #JimRatcliffe financial success with Putin war energy boom. @INEOS has been making money from chemicals (such as ones in toothpaste which Josh uses to clean his teeth) since early 1990’s @ManUtd,en
1627136692325842949,2023-02-19T02:43:12.000Z,war+energy,The Russia-Ukraine War Has Caused an Energy Crisis in the Developing World - Globely News https://t.co/Ob3Z7cDWJi,en
1627092333367033857,2023-02-18T23:46:56.000Z,war+energy,"Attacks on Policy That Saves Homeowners/Renters #Money 🟰 #Poverty #Tax

Lower building #efficiency imposes heavy burden on poorest US families, who spend 4X more of their income on #energy than the well-off:

https://t.co/Vuv4ygMYkx

#rooftop #solar #induction #stove #heatpump",en
1627054198520188928,2023-02-18T21:15:24.000Z,war+energy,"@avandelay6 @akramsrazor @mark_skittle EVs are the best g'damn thing thats ever happened to energy investors.     While big ""tech"" blows their brains out in an AI mkt share war, energy investors sit around getting paid 😂",en
1627052995983597569,2023-02-18T21:10:38.000Z,war+energy,"@RishiSunak @MunSecConf @VP @Bundeskanzler I think it's high time you lot stopped calling yourselves 'world leaders' Rishi because 'leading' us into;
War
Energy bankruptcy 
Actual bankruptcy 
.
While presiding over mass illegal immigration 
Is not the sort of leadership we were looking for.",en
