Keyword,tweet_id,created_at,text
green+energy,1631090172530925569,2023-03-02T00:32:55.000Z,"@RobertB52038791 @catturd2 ""US energy independence ""
Democrats support green energy for many reasons,  and one of them is energy independence.  I'm not sure why you put this on the list.   You are ignorant, I guess. https://t.co/wM0kOUx4ii"
green+energy,1631090072182464514,2023-03-02T00:32:32.000Z,"RT @commondreams: ""This massive open-pit mine has been fast-tracked from start to finish in defiance of environmental laws, all in the name…"
green+energy,1631089869966692353,2023-03-02T00:31:43.000Z,"RT @gudivadaamar: #AndhraPradesh is the perfect destination for investment in green energy. 
With our state's favourable policies,vast rene…"
green+energy,1631089598322573312,2023-03-02T00:30:39.000Z,"Had a great tour of an innovation business based right here in Calgary Forest Lawn just 2 blocks from my office. Eco-Growth Environmental is a company that truly thinks green. 

#Energy #yyc #yyCFL #enviroment https://t.co/iCy68Kd6Nd"
green+energy,1631089395947167748,2023-03-02T00:29:50.000Z,"RT @commondreams: ""This massive open-pit mine has been fast-tracked from start to finish in defiance of environmental laws, all in the name…"
green+energy,1631089384433897473,2023-03-02T00:29:48.000Z,@Tesla I still don't want solar. When I move back up north I'll get it off grid with propane back up.  It's ridiculous to go through the electric company. It's just a way for them to profit from green energy so they don't go out of business once fossil fuels are no longer used for… https://t.co/0unXDKCKnj
green+energy,1631089282168365057,2023-03-02T00:29:23.000Z,"RT @christinelroy: Cheap gas and oil has helped raise people out of poverty and improved economies.  Expensive ""green"" energy hurts everyon…"
green+energy,1631089150312198144,2023-03-02T00:28:52.000Z,"@CitizenFreePres Was she protesting alone? Only she was taken? Why did they move her, for her to just walk away all so calmly? Why is she protesting against wind farm ""green energy""? 

So many questions for this rubbish."
green+energy,1631088654260084737,2023-03-02T00:26:53.000Z,"RT @commondreams: ""This massive open-pit mine has been fast-tracked from start to finish in defiance of environmental laws, all in the name…"
green+energy,1631088633230032896,2023-03-02T00:26:48.000Z,"RT @catale7a: French oil firm TotalEnergies bought 20% stake in Adani Green Energy

It acquired two Mauritius-incorporated funds from a thi…"
green+energy,1631088349438943234,2023-03-02T00:25:41.000Z,"""This massive open-pit mine has been fast-tracked from start to finish in defiance of environmental laws, all in the name of 'green energy,' but its environmental impacts will be permanent and severe,"" said one opponent of the Thacker Pass lithium mine. https://t.co/BBjKblKQp3"
green+energy,1631088259387228162,2023-03-02T00:25:19.000Z,"@JCOviedo6 IMO 2 things: 
a) to reinforce their green energy focus (need more gov handouts)
b) regulators he was much more restrained than prior presentations."
green+energy,1631088214139101184,2023-03-02T00:25:09.000Z,"@CNN Green energy. 
https://t.co/SvnzKLCJKl"
green+energy,1631087956604616705,2023-03-02T00:24:07.000Z,"@MyLordBebo i share the same analysis.
i've seen how they tried to destroy French civilian nuclear power, which was one of the most advanced in late 20th century.
Numerous experimental reactors have been cancelled. To push ""green energy"" aka solar and wind."
green+energy,1631087832616845314,2023-03-02T00:23:38.000Z,"RT @LiquidPiston: Meet the X-Engine™ – the industry-upending engine that is compatible with a variety of fuels, including hydrogen. This co…"
green+energy,1631087734168354818,2023-03-02T00:23:14.000Z,"Let's contribute to the sustainable development of green energy. Join GPN and light up a spark for the family in energy-deprived areas. 
https://t.co/NtPY41XaNo https://t.co/lhFFoMziTo"
green+energy,1631087661984129024,2023-03-02T00:22:57.000Z,"@AidanTheRealest @MAstronomers I’m in favor of green energy. It’s smart to take advantage of for a multitude of reasons. And yes, climate change is entirely political. In fact, many thousands of politicians (and scientists) are liking becoming very rich by supporting the industry."
green+energy,1631087598885060609,2023-03-02T00:22:42.000Z,"@MatthewWielicki @UCSanDiego I find your detractors odd.  Everyone knows the sure fired way to success in academia is to 'buy in' to the climate change agenda to cash in on government grants, government jobs and private sector jobs in green energy.  You're taking the high road, keep it up."
green+energy,1631087475803459584,2023-03-02T00:22:13.000Z,"@RepTedLieu @EPA Thank you for this admission that it was not about inflation reduction, but an unpopular green energy boondoggle."
green+energy,1631087330889957376,2023-03-02T00:21:38.000Z,@vonderleyen Danish green energy 👋🏼🤡 https://t.co/oYrHqazulK
green+energy,1631087232713912322,2023-03-02T00:21:15.000Z,"@Lilt_Ruby @MAstronomers I’m in favor of green energy. And, something that is obvious to anyone with a room temperature IQ or higher, I was implying that climate change DOES exist but isn’t wholly caused by man while taking a stab at clearly corrupt politicians. Nice temper tantrum, though. 😂"
green+energy,1631087054028242945,2023-03-02T00:20:32.000Z,"@MarioSaccoccio3 @PaulEremenko @techreview Hydrocarbons are in reality, the original green energy, literally!"
green+energy,1631086970737926144,2023-03-02T00:20:12.000Z,"@livingjoyful @RepMTG With 3 billion funneled for ""green energy """
green+energy,1631086792442036224,2023-03-02T00:19:30.000Z,@ARSnarheim @NaturogUngdom raises world fossil fuel values ​​for cars to value the environment with green energy. https://t.co/59RhbhM5wZ
green+energy,1631086737148739586,2023-03-02T00:19:16.000Z,"https://t.co/xH7IxMPmX2

https://t.co/ZvjajCdikr

https://t.co/9dAweKTOlc

https://t.co/LVuVzxqz9F

https://t.co/5kxx8YYIw4

https://t.co/CDnMdbPQWT

https://t.co/eEiHPBlKjV

https://t.co/t46Mz3QAy6"
green+energy,1631086513696980993,2023-03-02T00:18:23.000Z,Boy they doing everything to make gas cost go up so they can tack about green energy https://t.co/ChOEqS45yl
green+energy,1631086505190891521,2023-03-02T00:18:21.000Z,@DrLoupis Climate Change is a hoax. CO2 is essential for all life. Stop the BS. How many rich liberals are getting even richer off 'green energy' BS?
green+energy,1631085733049176064,2023-03-02T00:15:17.000Z,“Green Energy” is killing whales &amp; dolphins. https://t.co/4juXRerZQm
green+energy,1631085677059231744,2023-03-02T00:15:04.000Z,"RT @abline11: Nutjob Thunberg is now protesting for the removal of green energy sources🙄😩
Police detain Greta Thunberg during Oslo demonstr…"
green+energy,1631084677195784195,2023-03-02T00:11:05.000Z,Green energy just turned black. https://t.co/RuTkhYPXU8
green+energy,1631084577182679040,2023-03-02T00:10:41.000Z,RT @NokiidaaPS: Check out our new bling!!✨🏆 Congratulations to our Green Energy team who competed at #YRSC2023! What a stellar wind turbine…
green+energy,1631084501479686144,2023-03-02T00:10:23.000Z,"@markmaycot Oh, the poor NIMBY! Wants green energy but not in anyone's back yard."
green+energy,1631084345023778817,2023-03-02T00:09:46.000Z,"RT @Iberdrola_En: 𝗖𝗛𝗔𝗟𝗟𝗘𝗡𝗚𝗘 𝗔𝗖𝗛𝗜𝗘𝗩𝗘𝗗 💪 

Rokani wind farm installation in Greece 🇬🇷, COMPLETED ✅.

With the largest and most powerful turbi…"
green+energy,1631083920065282053,2023-03-02T00:08:05.000Z,RT @semiat_sulaimon: Green energy rechargeable quality lighter wristwatch At affordable price 13k https://t.co/aj2XkYdqG0
green+energy,1631083919142694912,2023-03-02T00:08:05.000Z,Let's contribute to the sustainable development of green energy. Join GPN and light up a spark for the family in energy-deprived areas. https://t.co/Ahai9b6BYz https://t.co/WRU6aQXE7W
green+energy,1631083587092062208,2023-03-02T00:06:45.000Z,"I think @DianeSare is great except when she expresses doubts about the science behind global climate change and anything related to ""green energy"" (she must be a fossil fuels / hydrocarbons industry shill.) I realize physics is hard, Diane, but the problem is real and urgent. https://t.co/oWBVp7Y8cx"
green+energy,1631083575020756997,2023-03-02T00:06:43.000Z,RT @_beaurobinson: This is wild to watch. Green energy means black slaves. Where are the liberals?
green+energy,1631083449963655168,2023-03-02T00:06:13.000Z,"RT @ArunYadavIND: From Defence to automobile and tech to green energy, German CEOs hailed the vision of a New India realizing PM Modi’s man…"
green+energy,1631082580949835776,2023-03-02T00:02:46.000Z,"@TheKevinDalton Truth. Child and poor exploited adults dig up the shit that these green advocates need for their green energy. It’s horrible, dangerous work and most don’t survive."
green+energy,1631082518110715905,2023-03-02T00:02:31.000Z,"@philhuwedwards @curious_founder It's an engineering problem to be solved, not a reason to abandon the idea of green energy. As ever, it makes me think of this: https://t.co/sJGvKGpTWd"
green+energy,1631082474464849923,2023-03-02T00:02:20.000Z,"RT @KeillerDon: Green energy. Making the obscenely rich even richer.
With your money.
#RenewableEnergy #renewables #CostOfNetZero https://t…"
green+energy,1631082402058477568,2023-03-02T00:02:03.000Z,@snb19692 Looks like he is supporting fossil fuels by delaying green energy by spending heaps on nuclear instead.
green+energy,1631081964311642113,2023-03-02T00:00:18.000Z,RT @Natasha38585763: green energy kept from the market by the new world order.... https://t.co/wyKBBjHbli
green+energy,1631081359220326402,2023-03-01T23:57:54.000Z,"@amnesty say ""no"" to green energy, it disrupts people's lives!"
green+energy,1631081088758996992,2023-03-01T23:56:50.000Z,"How Biden’s ‘Green Energy Economy’ Is Benefiting Left-Wing Billionaires

https://t.co/i3yh8fGeNj"
green+energy,1631081035458023425,2023-03-01T23:56:37.000Z,"@elonmusk You say you want green energy and then proceed to burn 100,000s gallons of rocket fuel"
green+energy,1631080903912071169,2023-03-01T23:56:06.000Z,@bosswoozibaby scam daw yung green energy kasi di talaga sila nagtatanim ng trees 😆
green+energy,1631080886765494272,2023-03-01T23:56:02.000Z,"RT @mindys4Biden: CHIPS Act passed. PACT Act passed. Biden did that!
Inflation Reduction Act passed. Biden did that!
The first black woman…"
green+energy,1631080765315325952,2023-03-01T23:55:33.000Z,"@SenTinaSmith Tina, you are bad for Minnesota. Green energy is an oxymoron."
green+energy,1631080574868770816,2023-03-01T23:54:47.000Z,"RT @armanwalker: —Carles Baker, self-taught mechanical engineer, enslaved to age 15, end of Civil War.
—1.13.1903, Baker invented, patented…"
green+energy,1631080407251705865,2023-03-01T23:54:07.000Z,RT @MRiverlife: In case you are still foolish enough to believe that all this green energy propaganda is to save the planet. The Biden admi…
green+energy,1631080327702810624,2023-03-01T23:53:48.000Z,@howoons tbh i love paymaya hahaha tapos may cashbacks pa na pera imbes na green energy chz
green+energy,1631080260425994240,2023-03-01T23:53:32.000Z,RT @OTURISK: That would suggest the green energy is a con and that the government lies to the people. How could anybody think that after th…
