Keyword,tweet_id,created_at,text
russia+invasion,1631089608560726018,2023-03-02T00:30:41.000Z,RT @DianeRavitch: How will the war end?  https://t.co/P8ZqOWRfpC
russia+invasion,1631088765434249217,2023-03-02T00:27:20.000Z,"Recommended Reading

“There Are Only Two Ways to Bring Peace to Ukraine” by @CSIS 's @EliotACohen in @TheAtlantic .

https://t.co/Rt9eGzkWXo"
russia+invasion,1631088105686966272,2023-03-02T00:24:43.000Z,How will the war end?  https://t.co/P8ZqOWRfpC
russia+invasion,1631086688524206081,2023-03-02T00:19:05.000Z,"@biezhaowohaoma @SBSNews They are there after the Referendum. 
Proxy is Zelansky backed by USA+ NATO. 
Not Russia invasion. 
Russia is just defending their sovereignty."
russia+invasion,1631086409862848513,2023-03-02T00:17:58.000Z,"Ukrainian President Volodymyr Zelensky declared his country’s year-long fight with Russia a “year of invincibility” on Friday, as he marked the anniversary of the invasion of his nation. “It was a year of resilience."" https://t.co/x2Sekd9b0O"
russia+invasion,1631085935537340416,2023-03-02T00:16:05.000Z,"@PeterMcCormack LeT’S cOmPArE ruSsIA InVAsiON oF Ukraine AnD EXpanSiOn oF thE SoViEt BordEr tO tHE dEFeAt of SaDdam AnD HaNDinG THE POWER tO tHE Iraqi PeOpLe 🤡 
The whataboutism is asinine when RuSsIA literally expanded their borders, the ONLY country to do so this century. Insanity."
russia+invasion,1631085691701452801,2023-03-02T00:15:07.000Z,"RT @EliotACohen: History poorly read fosters misunderstanding of the fighting in Ukraine, as I argued in a previous article of in @TheAtlan…"
russia+invasion,1631085582037164032,2023-03-02T00:14:41.000Z,"RT @SlawomirDebski: ""Any long-term planning for Ukraine and for the West should also be predicated on the postwar persistence of a malignan…"
russia+invasion,1631084527509536771,2023-03-02T00:10:30.000Z,"RT @k_sonin: Being clear-eyed not only about the situation on the ground, but also about the lessons of history is a rarity. @EliotACohen i…"
russia+invasion,1631084481749680128,2023-03-02T00:10:19.000Z,"RT @JeffreyGoldberg: ""To suppose that any real peace between Russia and Ukraine is possible within the next decade, after the horrors of th…"
russia+invasion,1631084363134664704,2023-03-02T00:09:50.000Z,"RT @michaeldweiss: ""Adroit and historically informed statecraft lies not in casting about for historical analogies and crying 'Eureka!' aft…"
russia+invasion,1631082895904210946,2023-03-02T00:04:01.000Z,"RT @iellakuria: Supporting and arming Ukraine, and accelerating the collapse of the Russian military, is the most realistic way to end the…"
russia+invasion,1631082665771188227,2023-03-02T00:03:06.000Z,"RT @KlausRieneck: Supporting and arming Ukraine, and accelerating the collapse of the Russian military, is the most realistic way to end th…"
