tweet_id,created_at,keyword_search,text,language
1628182364903084032,2023-02-21T23:58:20.000Z,green+energy,"@Monty_Woolley @MichaelWestBiz @CallumDRFoote Sit back and watch. Its unlikely this gas will get to market unless Santos buys market share. Carbon based generation is dying. 
 When an individual can see a way to invest in green energy as an owner operator the clock is ticking 
 Im working on my 2.5 MW wind turbine project",en
1628182075042942976,2023-02-21T23:57:11.000Z,green+energy,The Noonification: Design and Simulation of a Green Energy Grid (2/21/2023) https://t.co/bw8ETjtboR #BTC,en
1628181899117051905,2023-02-21T23:56:29.000Z,green+energy,"How is China's rise as an green energy super-star affecting the developing world?

#China #climate

👇CLICK HERE TO WATCH👇
https://t.co/ChJsOcDCqn https://t.co/H6E5Nm31In",en
1628181852350447617,2023-02-21T23:56:18.000Z,green+energy,I don’t agree with the premise at all. But the question is why aren’t they building “green energy “ ? https://t.co/wH7xRMqiAh,en
1628181534590275584,2023-02-21T23:55:02.000Z,green+energy,via @renew_economy Blackstone still hungry for massive green energy play as Origin board backs trimmed offer https://t.co/wgz61hQT4W,en
1628181063397957632,2023-02-21T23:53:10.000Z,green+energy,Seeing this more and more. Using seemingly progressive group titles to block/ban green energy. “Citizens for Responsible Solar worked to stop the project on Houser's land and pass restrictions effectively banning solar plants from being built in the area.” https://t.co/FrCT6CehkG,en
1628180194736447488,2023-02-21T23:49:43.000Z,green+energy,"Oh darn, Poland gets the clean, efficient and least cost energy solution while the western globalists push the green energy scam for tax payer dollars

Good-bye trees, hello useless solar and wind farms https://t.co/taLp3WX2ad",en
1628179107954450432,2023-02-21T23:45:24.000Z,green+energy,@Timmeroo86 @brionnedavis @laurenboebert Green energy has dick all to do with it. Not a single thing.,en
1628179036659671040,2023-02-21T23:45:07.000Z,green+energy,"As their President and CEO, Stan Ross said, ""This isn't green at any cost.""  We're seeing a clean tech innovation as part of the @BrazeauCounty green energy hub.  Thanks to Stan and his team for a great tour and even better innovation to reduce landfill waste.",en
1628178804425342978,2023-02-21T23:44:11.000Z,green+energy,"@yohiobaseball @TheLastRefuge2 War?  LOL...why would they need to go to war?  They have all the leverage.  The ""hydrocarbon haves"" control chips, drugs, and green energy resources, and will be able to run their economies at &lt;1/10th the cost of the west. This is probably big finance squeezing Russia.",en
1628178247010623490,2023-02-21T23:41:58.000Z,green+energy,A Wake-Up Call for Green Energy Dreams https://t.co/fYCLHguder,en
1628178043385663488,2023-02-21T23:41:10.000Z,green+energy,224gCO2/kWh National Grid CO2 intensity is LOW wrt last 24h so you can run your wash etc now! https://t.co/yIVKeykAvN #green #energy #CO2 2341Z,en
1628177381012783104,2023-02-21T23:38:32.000Z,green+energy,@djrellymac @TroyRubert @unusual_whales The dollar became the world currency because of war. War makes money. This isn't a civil dispute this is an american proxy war with WEF and NATO backing it. Russia is the last line of defense for fossil fuels. I for one hope they stop the wealth transfer from green energy scam,en
1628176829839478784,2023-02-21T23:36:20.000Z,green+energy,"@AdamBandt She’s smart. “Green” renewable energy is anything but good for the environment. 
You can’t tell be that mining all the ingredients required for batteries and solar, even wind turbines are “green” energy.",en
1628176492126502912,2023-02-21T23:35:00.000Z,green+energy,@NHJennifer Biden also proposed sunset for SS and Medicare. Educte yourself. Clinton raided SS to balance his budget; Obama stole millions for Obamacare; Biden just stole $300 billion from Medicare in December for Green Energy projects. Educate yourself. It isn't GOP.,en
1628176252065681409,2023-02-21T23:34:03.000Z,green+energy,"@SendDopaminePls @TinaMombourque1 @BriceDavidson @PepeBosslady @ABDanielleSmith Now let’s jump in and see how much the government subsidized green  energy 
Around the world it’s trillions

Green energy is not dependable and it’s a freaking joke",en
1628176094539968512,2023-02-21T23:33:25.000Z,green+energy,@LiddleSavages Democrats lie about SS and Medicare daily. Clinton stole money from SS to balance his budget; Obama stole millions for Obamacare; Biden stole $300 billion to use on green energy projects. It isn't GOP breaking either program. Democrats point empty fingers while they stealing,en
1628175805141458945,2023-02-21T23:32:16.000Z,green+energy,@chriskrokshow 1/2 A week of continuous cloud coverage and frozen turbines..it was a disaster. Isn’t it peculiar how they push this reliability on green energy while also fear mongering climate change…,en
1628175271885959168,2023-02-21T23:30:09.000Z,green+energy,There is nothing “green energy” about electric vehicles.,en
1628174767927828483,2023-02-21T23:28:09.000Z,green+energy,New geological study proves that the green energy movement is impossible to achieve - LifeSite https://t.co/fCBDZG5lUc,en
1628173001446359042,2023-02-21T23:21:08.000Z,green+energy,I am working on solar power project to electrify small community with green energy. https://t.co/gUni8Wb4uM,en
1628172877827608579,2023-02-21T23:20:38.000Z,green+energy,Follow us to learn how Hitachi is empowering local communities transition to green energy. https://t.co/CC8ghLWbgJ,en
1628172704569257985,2023-02-21T23:19:57.000Z,green+energy,"@GretaThunberg But it's good to know that her ideas differs from the crowd that she hangs out with. It's good to know she is not pushing geoengineering that could destroy earth for good, or pushing the ""green energy"" hoax.",en
1628172561757396992,2023-02-21T23:19:23.000Z,green+energy,@righttobikeit Those legs are our new green energy right there. Go on my son 👍🏻🚴,en
