tweet_id,created_at,keyword_search,text
1632286632425709568,2023-03-05 07:47:14+00:00,russia+war,"@Zachary66301031 @NAFOKnight They haven't stopped counting
https://t.co/xNXXhPc5RI"
1632286083667861506,2023-03-05 07:45:03+00:00,russia+war,RT @TheThe1776: When WEF Klaus Schwab said “You'll own nothing and you'll be happy about it.” he wasn’t kidding! WEF launders our hard earn…
1632285642163097601,2023-03-05 07:43:18+00:00,russia+war,RT @__mtprospectcar: So I’ve learned during my two week time out that Elon Musk will allow schizos to deny that Ukraine Russia war is real…
1632285455877013509,2023-03-05 07:42:33+00:00,russia+war,"With Ukraine Under Pressure in Bakhmut, Fight Becomes a Battle Over Roads https://t.co/LUrVzn5nxz"
1632285323118927874,2023-03-05 07:42:02+00:00,russia+war,These animals must be held to account. America and Europe cannot keep turning a blind eye to such brutality. Russia war=leopard tanks. Israel brutality = $4/year reward. https://t.co/OaeE0y8he5
1632285054582890496,2023-03-05 07:40:58+00:00,russia+war,"@devilsadv0c8 @kathie_2023 @Jordanpkjj https://t.co/EH8WeAXaEF

https://t.co/zMo2fhtmT6

https://t.co/yxV4hXKjFB"
1632284132515663873,2023-03-05 07:37:18+00:00,russia+war,@beeztings @VaushV @DrLoupis But vaush opinion is usually better than most online leftists takes on the Ukraine/russia war
1632284039280246784,2023-03-05 07:36:55+00:00,russia+war,RT @lifesafeast: https://t.co/FTPLSpmYtH
1632283301829328897,2023-03-05 07:34:00+00:00,russia+war,RT @birdwriter7: https://t.co/6zbZaOhsiZ #storytelling #shortstory #WorldStorytellingDay #ebooks #kindle #Ukraine #Russia #war #peace #migr…
1632283236146757633,2023-03-05 07:33:44+00:00,russia+war,The Power of Gold: China and Russia War on the US Dollar https://t.co/WuASwZGpEz via @YouTube
1632283125874307072,2023-03-05 07:33:18+00:00,russia+war,RT @lifesafeast: https://t.co/FTPLSpmYtH
1632282562126020610,2023-03-05 07:31:03+00:00,russia+war,RT @birdwriter7: https://t.co/6zbZaOhsiZ #storytelling #shortstory #WorldStorytellingDay #ebooks #kindle #Ukraine #Russia #war #peace #migr…
1632281812280934400,2023-03-05 07:28:05+00:00,russia+war,RT @TheThe1776: When WEF Klaus Schwab said “You'll own nothing and you'll be happy about it.” he wasn’t kidding! WEF launders our hard earn…
1632281750218104832,2023-03-05 07:27:50+00:00,russia+war,"Ukraine Russia War Graphic: 3/5/2023
Over 200,000 Russian soldiers and more than 1,800 officers have been either killed or wounded since the beginning of the Russian invasion of Ukraine last February.
++++
https://t.co/qoP3vYzf79 https://t.co/Ll6nTnV6kR"
1632281563508649985,2023-03-05 07:27:05+00:00,russia+war,"RT @cocostarmaximus: @juz_zuri Yes. Victoria Nuland. One of the architects of the 2014 Ukraine coup and the ongoing Ukraine-Russia war.

He…"
1632281550841860098,2023-03-05 07:27:02+00:00,russia+war,"Ukraine-Russia War Graphic: 3/5/2023
Russian media report that a drone has attacked a substation of the Transneft-Druzhba oil pipeline in Belgorod Oblast.
++++
More Breaking News Links to Twitter:
https://t.co/qoP3vYzf79 https://t.co/CUYMRo83mr"
1632281482843807744,2023-03-05 07:26:46+00:00,russia+war,"Ukraine Russia War Graphic: 3/5/2023
The Ukrainian Armed Forces killed 820 Russian soldiers and destroyed dozens of items of military equipment on 3 March.
++++
More Twitter Ukraine News Links:
https://t.co/qoP3vYzf79 https://t.co/0RSRUdyT8v"
1632281260558286848,2023-03-05 07:25:53+00:00,russia+war,"Ukraine-Russia War Graphic: 3/5/2023
The situation around Bakhmut is difficult, but controlled by the Ukrainian military, said Serhiy Cherevatyi.
----
More Breaking News Links to Twitter:
https://t.co/qoP3vYzf79
https://t.co/PCzzj7Rgi4

#Ukraine,#UkraineWar,#UkraineNe https://t.co/HIgidPMM3q"
1632281158124982274,2023-03-05 07:25:29+00:00,russia+war,"Ukraine Russia War Graphic: 3/5/2023
According to a senior European diplomat, Russia appears to be successfully circumventing EU and G7 sanctions to ensure the supply of important semiconductors and other technologies needed for the war against Ukraine.

https://t.co/qoP3vYzf79 https://t.co/lC1GK8qc3D"
1632280903841120261,2023-03-05 07:24:28+00:00,russia+war,"Ukraine-Russia War Graphic: 3/5/2023
The press center of the command of the Naval Infantry of the Armed Forces noted on March 3, 2023, that Ukrainia.
++++
More Breaking News Links to Twitter:
https://t.co/qoP3vYzf79 https://t.co/YMpcXqotN3"
1632280789000880129,2023-03-05 07:24:01+00:00,russia+war,RT @KristiTalmadge: Alexander Vindman is being accused of trying to profit off of the #Ukraine #Russia War with his #UkWSSC company by Repu…
1632280464374530048,2023-03-05 07:22:43+00:00,russia+war,"Ukraine-Russia War Graphic: 3/5/2023
Germany's military hardware manufacturer Rheinmetall is in talks to build an army tank plant in Ukraine, CEO Armin Papperger told Der Spiegel on March 4.
++++
https://t.co/qoP3vYzf79 https://t.co/pq0myvK9tu"
1632280381729964032,2023-03-05 07:22:23+00:00,russia+war,"Ukraine Russia War News: 3/5/2023
This year,Ukraine aims to complete the implementation of the recommendations of the European Commission and start negotiations on joining the European Union .
++++
https://t.co/qoP3vYzf79 https://t.co/3HGY75g8s1"
1632280084693544960,2023-03-05 07:21:13+00:00,russia+war,"Ukraine-Russia War Graphic: 3/5/2023
Russia has not taken control of Bakhmut in Donetsk Oblast, there has been no mass withdrawal of Ukraine’s troops.
= = =
More Twitter News Links:
https://t.co/qoP3vYzf79
https://t.co/PCzzj7Rgi4

#Ukraine,#UkraineWar,#UkraineNews,#Ru https://t.co/j2o52m3XyC"
1632280005068881920,2023-03-05 07:20:54+00:00,russia+war,"Ukraine Russia War Graphic: 3/5/2023
A few weeks ago, Russian troops used a new and rather dangerous weapon against Ukraine for the first time – UPAB-1500B (index K029B) 1,500 kg gliding bombs.
++++
https://t.co/qoP3vYzf79 https://t.co/a10l0TG8z2"
1632279686448402433,2023-03-05 07:19:38+00:00,russia+war,https://t.co/FTPLSpmYtH
1632279620874821633,2023-03-05 07:19:22+00:00,russia+war,"Ukraine-Russia War Video: 3/5/2023
In the Avdiiv direction, thanks to the joint efforts of the 2nd mechanized battalion of the Presidential Brigade and artillery of the 55th OABr and 110th OMB, our defenders eliminated
++++
https://t.co/qoP3vYzf79 https://t.co/gx14YSXUcg"
1632279580659597313,2023-03-05 07:19:12+00:00,russia+war,"#UKRAINERUSSIAWAR. Propaganda of war heroes
#agcnews #ukriane #russia #war #propaganda https://t.co/42cAXGV4KY"
1632279537538203653,2023-03-05 07:19:02+00:00,russia+war,"Ukraine Russia War Video: 3/5/2023
That’s an epic video right here.
^^^^
More Twitter Ukraine News Links:
https://t.co/WqWj31CO9w
https://t.co/PCzzj7Rgi4

#Ukraine,#UkraineWar,#UkraineNews,#RussiaWar,#WarPhoto https://t.co/ccnk0MAvqT"
1632279537538023430,2023-03-05 07:19:02+00:00,russia+war,"#UKRAINERUSSIAWAR. Propaganda of war heroes
#agcnews #ukriane #russia #war #propaganda https://t.co/bzN0HzQLT5"
1632279465983111170,2023-03-05 07:18:45+00:00,russia+war,"#UKRAINERUSSIAWAR. Propaganda of war heroes
#agcnews #ukriane #russia #war #propaganda https://t.co/0Jio9Gx6aP"
1632279298567733248,2023-03-05 07:18:05+00:00,russia+war,"Ukraine-Russia War Graphic: 3/5/2023
Russian troops are receiving the newest and most advanced MT-LB with a 25-mm naval gun complex 2M-3 mounted on top of it.
++++
More Twitter Ukraine News Links:
https://t.co/qoP3vYzf79 https://t.co/Bn3ym1WOoA"
1632279229353299974,2023-03-05 07:17:49+00:00,russia+war,"Ukraine Russia War Graphic: 3/5/2023
Ukraine is Love .
....
More War News Links to Twitter:
https://t.co/qoP3vYzf79
https://t.co/FIIbV3XoSs

#Ukraine,#UkraineWar,#UkraineNews,#RussiaWar,#USA https://t.co/ZjdjfGHVuA"
1632279203633610752,2023-03-05 07:17:43+00:00,russia+war,"'Massive' drone attack on Black Sea Fleet - Russia. #ukraine #russia #war #worldnews #news
 #UkraineRussianWar #UkraineWillWin #Luhansk #Donetsk #Bakhmut
 https://t.co/8mG9swCqeD"
1632278923735097350,2023-03-05 07:16:36+00:00,russia+war,"RT @GatestoneInst: China has recently been supplying significant military aid to Russia in the form of dual-use products, including semicon…"
1632278734610006016,2023-03-05 07:15:51+00:00,russia+war,"Ukraine-Russia War Video: 3/5/2023
Glory to Ukraine and it's soldiers!.
====
More Hot News Links to Twitter:
https://t.co/qoP3vYzf79
https://t.co/PCzzj7Rgi4

#Ukraine,#UkraineWar,#UkraineNews,#RussiaWar,#WarVideo https://t.co/qT2YgIspj0"
1632278651239829504,2023-03-05 07:15:31+00:00,russia+war,"Ukraine Russia War Graphic: 3/5/2023
Czech President Petr Pavel plans to visit Ukraine in April, - Ceske Noviny

Pavel intends to visit all neighboring countries in the first hundred days of his tenure, and will also go to Brussels.
++++
https://t.co/qoP3vYzf79 https://t.co/vKKeN1ISfW"
