tweet_id,created_at,keyword_search,text
1632281203813371905,2023-03-05 07:25:39+00:00,ukraine+energy,"@DeborahMeaden @RicardTancredi How can you strike off those excuses. Brexit happened then , in the march the pandemic, the world shut down .. fact not excuse , then as economies start to open up supply and demand chains struggled all over the world , then the war in Ukraine .energy prices high .1/2"
1632254333789020160,2023-03-05 05:38:53+00:00,ukraine+energy,@Captain_Nemo76 @YardleyShooting How does it really affect us? Do you know about the American led coup of 2014. Politicians children heavily involved in Ukraine energy companies. Endless American wars used to fund their weapons manufacturers. A tiny % at the top benefitting. The rest having their sons killed.
1632250149123637248,2023-03-05 05:22:15+00:00,ukraine+energy,"@POTUS Let's here about the southern border, the amount of complications with the covid vaccines, the amount of food processing plants being burnt down, Ohio disaster, Afghanistan disaster,your war with Russia through Ukraine, energy crisis, Chinese spy balloons, race baiting, crime...."
1632232877717958657,2023-03-05 04:13:38+00:00,ukraine+energy,"RT @EcoWatch: thanks to a combination of preparation and luck, Europe has avoided blackouts and power cutoffs. Instead, less wealthy nation…"
1632229238471557120,2023-03-05 03:59:10+00:00,ukraine+energy,"@CryptoJobs3 @iWantCoinNews 2022 we had Luna collapse,ftx collapse,war in Ukraine, energy crisis interest rate hikes,high inflation and still BTC didn't come close to 11k
Can explain as to why you think it will?

My logic...4Q 2023 and 1Q 2024  accumulation time as BTC halving is in March 2024"
1632212636233285632,2023-03-05 02:53:12+00:00,ukraine+energy,"🇩🇪 🔗 🇷🇺 〰️⚡️ Germany has almost compensated for the loss of Russian gas deliveries thanks to a steep rise in imports from Norway, The Netherlands and Belgium, after Moscow cut #gas supplies last year over Western support for #Ukraine. #Energy https://t.co/X5E99Jfy6X"
1632201846298165248,2023-03-05 02:10:19+00:00,ukraine+energy,"RT @Cen4infoRes: Read more context about our new report from @CNN 

https://t.co/HOPpOQS5cL"
1632187423177289729,2023-03-05 01:13:00+00:00,ukraine+energy,"RT @EcoWatch: thanks to a combination of preparation and luck, Europe has avoided blackouts and power cutoffs. Instead, less wealthy nation…"
1632180272761298944,2023-03-05 00:44:36+00:00,ukraine+energy,"RT @EcoWatch: thanks to a combination of preparation and luck, Europe has avoided blackouts and power cutoffs. Instead, less wealthy nation…"
1632180122886328321,2023-03-05 00:44:00+00:00,ukraine+energy,"thanks to a combination of preparation and luck, Europe has avoided blackouts and power cutoffs. Instead, less wealthy nations like Pakistan and India have contended with electricity outages on the back of unaffordably high global natural gas prices. 
https://t.co/Lhx2YK89FH"
1632162021838925824,2023-03-04 23:32:04+00:00,ukraine+energy,Let's fkn go !  @Sunny199210 @Johnson23668083 @Terrell38904626 @Vikki4450253 @ukraine_energy @pala00022 @ArelyCathy @gsr07773 @beccaxptx @jasonduiella1 https://t.co/b31YlIRwzQ
1632156155593232384,2023-03-04 23:08:46+00:00,ukraine+energy,"China's solar power capacity set for record growth. oil &amp; gas industry profits jump to $4 trillion, india look link power grids but war in Ukraine energy crisis been wake up for Europe India needs to install 40 gigawatts to increase non fossil fuel capacity to 500GW by 2030."
1632155784573337601,2023-03-04 23:07:17+00:00,ukraine+energy,"@RonFilipkowski Biden's son Hunter, John Kerry's son, Nancy Pelosi's son, and Mitt Romney's son - all worked for a #Ukraine energy company, they may still.  Did they do anything they could get in trouble for?  Is Zelensky bribing Biden/Pelosi/Romney for BILLIONS of our tax dollars?"
1632141705712668672,2023-03-04 22:11:21+00:00,ukraine+energy,@ackerm_ann @dtek_en It's awful.But our organization wants to make Ukraine energy independent. You can help our country by supporting our project.
1632141271988051968,2023-03-04 22:09:37+00:00,ukraine+energy,@G_Galushchenko @JorgensenJuul @EU_Commission Great news! Our organization also wants to make Ukraine energy independent. You can split your contribution by supporting our organization.
1632138126138433537,2023-03-04 21:57:07+00:00,ukraine+energy,@G_Galushchenko @Excelerate_EE It is perfectly! Our organization wants to make Ukraine energy independent. Everyone can help our country by supporting our project ❤️
1632130349873483784,2023-03-04 21:26:13+00:00,ukraine+energy,"@ImMeme0 He’s got things done. Sky-high Inflation, unsecured border, money laundering to Ukraine, energy dependence, raising a crack head son, having classified documents in a garage, reportedly crapped pants at the Vatican, destruction of America, and can’t complete a coherent sentence."
1632083377972035586,2023-03-04 18:19:34+00:00,ukraine+energy,"@tonydunc @cgbell862 @julianorobertrj @davidmweissman @TuckerCarlson Lol- well, in fairness- John Kerry state department did fund the Maidan uprising in 2013. There are 30+ biolabs. Hunter is investor in those labs. Also, Kerry’s son, Hunter, and Pelosi’s son all got into Ukraine energy in 2014…so we funding the start of it"
1632056220461969408,2023-03-04 16:31:39+00:00,ukraine+energy,@DashDobrofsky Zelensky has sucked $200 BILLION dollars of US tax money via Biden's shady money laundering scheme. Any American supporting Biden or Zelensky is a traitorous fool. Hunter's paid position on the Ukraine energy board was the first red flag of this criminal hustle.
1632024560332570627,2023-03-04 14:25:51+00:00,ukraine+energy,@Bootiesurfer @YardleyShooting The west supported a soft coup in 2014. Ukraine energy business is linked to many American politicians. Ukraine is know to be the most/one of the most corrupt nations on the planet. All this aid being sent is at risk from being siphoned off by officials. The whole thing stinks
1632014758281986048,2023-03-04 13:46:54+00:00,ukraine+energy,Sweden to transfer $30M to Ukraine Energy Support Fund https://t.co/57t4bNx2bq
1632004725301288960,2023-03-04 13:07:02+00:00,ukraine+energy,"@Cheeto377 @NotoriousRED @KJTorrance Sure thank God  now we have runaway inflation, failed in Afghanistan and now Ukraine.  Energy issues, transportation issues food supply issues.  About the only thing growing is unqualified DEI hires"
1631990438369394688,2023-03-04 12:10:16+00:00,ukraine+energy,"@Samfr Makes complete sense Sam. For me, we’ve never had end point to decompress, reflect, mourn. Straight from pandemic into Ukraine, energy prices, inflation, strikes etc. Education post pandemic is different to pre. It was horrible experience. Can only imagine what like in health."
1631987049271107586,2023-03-04 11:56:48+00:00,ukraine+energy,@FAB87F @LvivJournal It’s BS I recognize a U.S. face trying to get Americans o go fight for Ukraine they will be on front line while he hides like a coward collecting US $$$ his followers are high ranking elected officials who got their offspring jobs on the boards  of Ukraine energy  companies.
1631971541788549121,2023-03-04 10:55:10+00:00,ukraine+energy,RT @bourdeau_ed: @Glenn_Diesen @oddlots Don’t forget about the younger Biden sitting on the Ukraine energy board - make it make sense other…
1631928761305419776,2023-03-04 08:05:11+00:00,ukraine+energy,@FoxNews Whole admin go to ukraine but not ohio or sothern border?  Must be open board positions on ukraine energy co.
1631847112190173190,2023-03-04 02:40:44+00:00,ukraine+energy,RT @G_Galushchenko: 🇸🇪decided to allocate around $30 mln to the Ukraine Energy Support Fund and provide financial support to the IAEA`s mis…
1631804994713182208,2023-03-03 23:53:22+00:00,ukraine+energy,"RT @itsrichhoblyn: ●This CONS Gov has failed on an humongous scale

Lockdown cost
Economic inertia
Profiteering by Big Bizz &amp; Gov
Obtuse va…"
1631783302028730368,2023-03-03 22:27:10+00:00,ukraine+energy,@Glenn_Diesen @oddlots Don’t forget about the younger Biden sitting on the Ukraine energy board - make it make sense other than rampant corruption and undue influence.
1631758920728363010,2023-03-03 20:50:17+00:00,ukraine+energy,"@ksorbs Gotta cover those blackmail demands Zelensky has on the Biden's and Hunters mysterious work with Ukraine energy companies...remember ""the big guy gets 10%!"""
1631746268883025920,2023-03-03 20:00:01+00:00,ukraine+energy,"Roughly a year on from Russia’s invasion of Ukraine, energy security remains front of mind for almost all governments. Read more from Heptagon Capital. https://t.co/g2ibosbh9G https://t.co/MVLPXM7Hfi"
1631739128013357061,2023-03-03 19:31:39+00:00,ukraine+energy,"@vonderleyen @KadriSimson IS it a joke?  Ukraine energy security?....
Do you know that , you need to have inverters mounting système.. . Solar panels dont works alone. 
Ok, with 5700 Solar panels, you Can produce thé energy consume by 100 houses.
Not sure you will provide an energy security to Ukraine"
1631719527410171904,2023-03-03 18:13:45+00:00,ukraine+energy,"RT @AshleyRindsberg: ""Conflict in Ukraine could send energy and food prices soaring."" @nytimes (2.22) got that one at least partially right…"
1631668411309645825,2023-03-03 14:50:38+00:00,ukraine+energy,"RT @thordiskolbrun: To support Ukraine through winter, Iceland is pledging a total of further 3m USD to the Ukraine Energy Support Fund and…"
1631657326036877314,2023-03-03 14:06:35+00:00,ukraine+energy,"RT @JacksonSmithA: @LilyEnglandUK1 @GarlandNixon @DagnyTaggart963 Most of that was outlined in black and white in ""Countering America's Adv…"
1631651195793317888,2023-03-03 13:42:14+00:00,ukraine+energy,"@OccupyDemocrats Full of shit as usual
Under Trump
The US would be stronger
NATO would be stronger
Putin would not have invaded ukraine
Energy independence would be ensured
Taiwan would be safer"
1631629308870393864,2023-03-03 12:15:16+00:00,ukraine+energy,"RT @Cen4infoRes: Read more context about our new report from @CNN 

https://t.co/HOPpOQS5cL"
1631614477257850881,2023-03-03 11:16:19+00:00,ukraine+energy,"RT @AshleyRindsberg: ""Conflict in Ukraine could send energy and food prices soaring."" @nytimes (2.22) got that one at least partially right…"
1631614113267740678,2023-03-03 11:14:53+00:00,ukraine+energy,"@bbcquestiontime So many daft remoaners  on TV say this I am suspicious .

Covid spending  £500 bn 
War in Ukraine 
energy price inflation 
food inflation 

the problems is not #brexit 

he is a remoaner because  only an obsessed brain damaged EU lover could think  its all because of  #Brexit https://t.co/0OXoGIdtmo"
