tweet_id,created_at,keyword_search,text
1633685635264380928,2023-03-09 04:26:22+00:00,green+energy,"@ZubyMusic no coverage of China and Russia establishing military presences in this hemisphere in violation of the Monroe Doctrine, green energy"
1633685506864062464,2023-03-09 04:25:51+00:00,green+energy,"Ranked as India's Cleanest City six times &amp; after becoming the country's first 7 Star Garbage Free &amp; Water Plus City, Indore takes a step towards #Green Energy. https://t.co/IinziSVR26"
1633685471829151747,2023-03-09 04:25:43+00:00,green+energy,"Equal opportunity?  So why the pipeline shutdown?  Why force people to subsidize expensive green energy?  Why the disinformation about ""efficient"" solar, especially when at night, when snow covered, or overcast?  Who's gonna pay for the 24/7 baseload backup -- illegal aliens? https://t.co/waySZk7vRA"
1633685149593505792,2023-03-09 04:24:26+00:00,green+energy,@JEChalmers Manufacturing with green energy.
1633684648445513728,2023-03-09 04:22:27+00:00,green+energy,@alliance4solar Every person who works in the energy field in NM knows green energy is political BS. NM doesn’t even make half its own electricity that this it uses.
1633684499102941186,2023-03-09 04:21:51+00:00,green+energy,"@Greenpeaceafric @PresidencyZA Its a nice concept just like electric cars no doubt but we have far worse pressing problems than green energy... unemployment,crime,gbv,inequality to name a few"
1633684404966137857,2023-03-09 04:21:29+00:00,green+energy,"RT @sunlorrie: Because Biden's green energy plan didn't include a national carbon tax, and because it instead offers enormous subsidies to…"
1633684400356433921,2023-03-09 04:21:28+00:00,green+energy,"RT @WillieDMack1: Your Daily Reminder: 

""Green"" Energy is Built on 
the Backs of Slaves! 

The Democrat Party is 
The Party of Slavery! ht…"
1633683465383165953,2023-03-09 04:17:45+00:00,green+energy,"RT @H_Michael411: According to a new Congressional Budget Office (CBO) report, Biden moved $307 billion away from Medicare Advantage for gr…"
1633683276643864577,2023-03-09 04:17:00+00:00,green+energy,"All Western states need to protect farmers and ranchers from corporate ""green energy"" encroachment on grazing and farming lands. https://t.co/P5bUPhe5YP"
